Compound,ISTD,Sample,NIST_Column,Sample_Compound_Area,Sample_ISTD_Area,Sample_Ratio,NIST_Compound_Area,NIST_ISTD_Area,NIST_Ratio,NIST_Result
AcylCarnitine 10:0,LPC 18:1 d7,PH-HC_5601,N/A,"212,160","212,434",0.998711,N/A,N/A,N/A,N/A
AcylCarnitine 10:0,LPC 18:1 d7,PH-HC_5602,N/A,"143,626","208,375",0.689268,N/A,N/A,N/A,N/A
AcylCarnitine 10:0,LPC 18:1 d7,PH-HC_5603,N/A,"78,302","212,965",0.367676,N/A,N/A,N/A,N/A
AcylCarnitine 10:0,LPC 18:1 d7,PH-HC_5604,N/A,"65,372","214,364",0.304959,N/A,N/A,N/A,N/A
AcylCarnitine 10:0,LPC 18:1 d7,PH-HC_5605,N/A,"44,020","211,701",0.207934,N/A,N/A,N/A,N/A
AcylCarnitine 12:0,LPC 18:1 d7,PH-HC_5601,N/A,"81,884","212,434",0.385458,N/A,N/A,N/A,N/A
AcylCarnitine 12:0,LPC 18:1 d7,PH-HC_5602,N/A,"42,674","208,375",0.204796,N/A,N/A,N/A,N/A
AcylCarnitine 12:0,LPC 18:1 d7,PH-HC_5603,N/A,"25,954","212,965",0.121869,N/A,N/A,N/A,N/A
AcylCarnitine 12:0,LPC 18:1 d7,PH-HC_5604,N/A,"20,217","214,364",0.094310,N/A,N/A,N/A,N/A
AcylCarnitine 12:0,LPC 18:1 d7,PH-HC_5605,N/A,"15,166","211,701",0.071641,N/A,N/A,N/A,N/A
AcylCarnitine 12:1,LPC 18:1 d7,PH-HC_5601,N/A,"79,610","212,434",0.374754,N/A,N/A,N/A,N/A
AcylCarnitine 12:1,LPC 18:1 d7,PH-HC_5602,N/A,"45,778","208,375",0.219692,N/A,N/A,N/A,N/A
AcylCarnitine 12:1,LPC 18:1 d7,PH-HC_5603,N/A,"25,039","212,965",0.117575,N/A,N/A,N/A,N/A
AcylCarnitine 12:1,LPC 18:1 d7,PH-HC_5604,N/A,"19,108","214,364",0.089140,N/A,N/A,N/A,N/A
AcylCarnitine 12:1,LPC 18:1 d7,PH-HC_5605,N/A,"11,641","211,701",0.054986,N/A,N/A,N/A,N/A
